County                                                                      Congressional District

Anderson                                                                                         5
Andrews                                                                                         11
Angelina                                                                                         1
Aransas                                                                                         27
Archer                                                                                          13
Armstrong                                                                                       13
Atascosa                                                                                        28
Austin                                                                                          10
Bailey                                                                                          19
Bandera                                                                                         21
"Bastrop                                                                                   10,17,27"
Baylor                                                                                          13
Bee                                                                                             34
"Bell                                                                                         25,31"
"Bexar                                                                               20,21,23,28,35"
Blanco                                                                                          21
Borden                                                                                          19
Bosque                                                                                          25
Bowie                                                                                            4
"Brazoria                                                                                     14,22"
Brazos                                                                                          17
Brewster                                                                                        23
Briscoe                                                                                         13
Brooks                                                                                          15
Brown                                                                                           11
Burleson                                                                                        17
Burnet                                                                                          25
"Caldwell                                                                                     27,35"
Calhoun                                                                                         27
Callahan                                                                                        11
Cameron                                                                                         34
Camp                                                                                             4
Carson                                                                                          13
Cass                                                                                             4
Castro                                                                                          19
"Chambers                                                                                     14,36"
Cherokee                                                                                         5
Childress                                                                                       13
Clay                                                                                            13
Cochran                                                                                         19
Coke                                                                                            11
Coleman                                                                                         11
"Collin                                                                                      3,4,32"
Collingsworth                                                                                   13
Colorado                                                                                        10
"Comal                                                                                        21,35"
Comanche                                                                                        11
Concho                                                                                          11
Cooke                                                                                           13
Coryell                                                                                         25
Cottle                                                                                          13
Crane                                                                                           23
Crockett                                                                                        23
Crosby                                                                                          19
Culberson                                                                                       23
Dallam                                                                                          13
"Dallas                                                                            5,24,26,30,32,33"
Dawson                                                                                          11
DeWitt                                                                                          34
Deaf Smith                                                                                      13
Delta                                                                                            4
"Denton                                                                                       24,26"
Dickens                                                                                         13
Dimmit                                                                                          23
Donley                                                                                          13
Duval                                                                                           15
Eastland                                                                                        11
Ector                                                                                           11
Edwards                                                                                         23
"El Paso                                                                                      16,23"
Ellis                                                                                            6
"Erath                                                                                        11,25"
Falls                                                                                           17
Fannin                                                                                           4
Fayette                                                                                         10
Fisher                                                                                          19
"Floyd                                                                                        13,19"
Foard                                                                                           13
"Fort Bend                                                                                     9,22"
Franklin                                                                                         4
Freestone                                                                                       17
Frio                                                                                            23
Gaines                                                                                          19
Galveston                                                                                       14
Garza                                                                                           19
Gillespie                                                                                       21
Glasscock                                                                                       11
Goliad                                                                                          34
"Gonzales                                                                                     27,34"
Gray                                                                                            13
Grayson                                                                                          4
Gregg                                                                                            1
Grimes                                                                                           8
"Guadalupe                                                                                    15,35"
Hale                                                                                            19
Hall                                                                                            13
Hamilton                                                                                        25
Hansford                                                                                        13
Hardeman                                                                                        13
Hardin                                                                                          36
"Harris                                                                          2,7-10,18,22,29,36"
Harrison                                                                                         1
Hartley                                                                                         13
Haskell                                                                                         19
"Hays                                                                                      21,25,35"
Hemphill                                                                                        13
Henderson                                                                                        5
"Hidalgo                                                                                   15,28,34"
Hill                                                                                            25
Hockley                                                                                         19
Hood                                                                                            11
Hopkins                                                                                          4
Houston                                                                                          8
Howard                                                                                          19
Hudspeth                                                                                        23
Hunt                                                                                             4
Hutchinson                                                                                      13
Irion                                                                                           11
Jack                                                                                            13
Jackson                                                                                         27
Jasper                                                                                          36
