county,cruz,o_rourke,dikeman,cruz_orour_rat,status
Harris,498175,698580,8639,0.7131251968278508,0
Dallas,240128,478289,5338,0.5020562881437792,0
Tarrant,308608,312477,5195,0.9876182887060487,0
Bexar,216428,324688,4991,0.6665722170206475,0
Travis,118603,356971,5131,0.33224827787131167,0
Collin,186625,164852,2918,1.1320760439667095,1
Denton,158509,134295,2401,1.1803045534085408,1
Fort Bend,111190,141846,1614,0.7838782905404452,0
Williamson,99696,105469,2509,0.9452635371530971,0
El Paso,50288,149457,1181,0.33647135965528546,0
Montgomery,137231,51124,1431,2.684277443079571,1
Hidalgo,46437,104234,833,0.4455072241303222,0
Brazoria,65470,45068,832,1.4526937072867667,1
Galveston,66436,43858,901,1.5147977563956405,1
Nueces,45875,47265,718,0.9705913466624352,0
Lubbock,58709,31976,731,1.8360332749562172,1
Bell,47279,38191,720,1.2379618234662617,1
Hays,33169,45355,852,0.7313195899018852,0
Cameron,28508,48656,567,0.5859092403814534,0
Smith,53542,23036,453,2.3242750477513456,1
McLennan,45836,28426,568,1.612467459368184,1
Jefferson,36694,37059,380,0.9901508405515529,0
Brazos,35724,27642,632,1.2923811591057086,1
Comal,43918,16748,586,2.622283257702412,1
Ellis,40979,19061,458,2.1498872042390222,1
Guadalupe,33881,20006,553,1.6935419374187743,1
Parker,43994,9926,468,4.43219826717711,1
Johnson,39541,12395,453,3.1900766438079873,1
Webb,13813,35142,408,0.3930624324170508,0
Randall,37767,9324,355,4.050514800514801,1
Grayson,31572,11130,331,2.836657681940701,1
Midland,31167,9085,349,3.4305998899284535,1
Taylor,29751,10445,356,2.848348492101484,1
Rockwall,26590,11713,329,2.270127209083924,1
Kaufman,26095,12017,285,2.1715070317050844,1
Gregg,24457,11027,233,2.2179196517638524,1
Tom Green,24568,9624,291,2.5527847049044055,1
Wichita,23617,9948,298,2.374045034177724,1
Ector,20958,9209,247,2.275817135411011,1
Hunt,21094,7142,220,2.9535144217306075,1
Bowie,20131,7960,182,2.5290201005025126,1
Bastrop,15049,12066,312,1.2472236035140063,1
Victoria,18994,8039,157,2.362731683045155,1
Henderson,20865,5406,204,3.8596004439511655,1
Angelina,19153,7123,153,2.6888951284571108,1
Orange,21156,5045,117,4.193458870168484,1
Hood,20073,4714,195,4.258167161646161,1
Potter,16630,7494,211,2.219108620229517,1
Wise,19010,3913,179,4.85816509072323,1
Harrison,16190,6205,121,2.6091861402095087,1
Kerr,16780,5170,184,3.245647969052224,1
Nacogdoches,13766,7721,126,1.782929672322238,1
Liberty,16013,4402,113,3.637664697864607,1
Hardin,17373,2634,71,6.595671981776765,1
Kendall,15274,4327,164,3.529928356829212,1
Burnet,13791,4417,187,3.1222549241566675,1
San Patricio,11322,6755,106,1.6760917838638045,1
Van Zandt,15181,2631,116,5.770049410870391,1
Walker,11517,6163,132,1.868732760019471,1
Wilson,13021,4563,127,2.853605084374315,1
Wood,13944,2620,118,5.322137404580153,1
Polk,12735,3827,106,3.3276718055918475,1
Waller,10145,6317,99,1.6059838530948234,1
Lamar,12688,3715,126,3.415343203230148,1
Rusk,12595,3609,76,3.489886395123303,1
Medina,11434,4613,114,2.478647301105571,1
Coryell,10617,5052,169,2.101543942992874,1
Chambers,12134,2921,109,4.15405682985279,1
Cherokee,11621,3200,103,3.6315625,1
Anderson,11315,3287,92,3.442348646181929,1
Cooke,11868,2545,111,4.663261296660118,1
Navarro,10383,3913,107,2.653462816253514,1
Upshur,11517,2361,90,4.878017789072427,1
Washington,10130,3254,95,3.1130915795943452,1
Wharton,9092,3788,55,2.4002111932418164,1
Erath,10039,2482,83,4.044721998388397,1
Gillespie,9872,2560,81,3.85625,1
Atascosa,7737,4325,119,1.7889017341040463,1
Brown,10386,1669,71,6.222887956860395,1
Hopkins,9298,2542,69,3.6577498033044846,1
Jasper,9475,2275,47,4.164835164835165,1
Caldwell,6131,5212,106,1.1763238679969301,1
Hill,8911,2433,63,3.66255651459104,1
Val Verde,5290,5909,101,0.8952445422237265,0
Austin,8702,2237,84,3.8900312919088065,1
Maverick,2950,7724,98,0.38192646297255306,0
Starr,2436,8246,68,0.29541595925297115,0
Fannin,8558,2105,74,4.065558194774347,1
Fayette,8218,2192,53,3.749087591240876,1
Matagorda,7326,3042,78,2.408284023668639,1
Cass,8130,2013,45,4.038748137108793,1
Llano,7885,2111,73,3.735196589294173,1
Jim Wells,4512,5321,49,0.847960909603458,0
Bandera,7643,1865,76,4.0981233243967825,1
Palo Pinto,7490,1817,46,4.122179416620804,1
San Jacinto,7487,1781,55,4.203818079730489,1
Aransas,6648,2229,55,2.9825033647375503,1
Panola,7120,1598,31,4.4555694618272845,1
Grimes,6490,2034,70,3.190757128810226,1
Kleberg,4073,4436,56,0.9181695220919748,0
Titus,5654,2258,52,2.503985828166519,1
Milam,5905,1981,68,2.9808177688036346,1
Uvalde,4343,3510,58,1.2373219373219373,1
Lavaca,6688,1018,30,6.5697445972495085,1
Shelby,6005,1521,32,3.948060486522025,1
Lampasas,5814,1561,65,3.724535554131967,1
Montague,6422,940,56,6.8319148936170215,1
Howard,5645,1690,59,3.3402366863905324,1
Hale,5349,1964,62,2.723523421588595,1
Houston,5536,1767,36,3.132993774759479,1
Bee,4341,2809,64,1.5453898184407262,1
Bosque,5699,1365,63,4.175091575091575,1
Tyler,5874,1176,35,4.994897959183674,1
Limestone,5193,1666,33,3.117046818727491,1
Hutchinson,5851,750,35,7.801333333333333,1
Leon,5709,854,23,6.6850117096018735,1
Burleson,5077,1425,45,3.5628070175438595,1
Freestone,5230,1274,40,4.1051805337519625,1
Young,5531,818,41,6.76161369193154,1
Robertson,4292,1942,31,2.2100926879505662,1
Eastland,5373,796,28,6.75,1
DeWitt,4974,1128,29,4.409574468085107,1
Calhoun,4198,1874,47,2.240128068303095,1
Hockley,4843,1208,39,4.0091059602649,1
Gray,5240,613,40,8.548123980424144,1
Lee,4475,1318,37,3.395295902883156,1
Blanco,4180,1567,57,2.6675175494575623,1
Gonzales,4171,1421,31,2.935256861365236,1
Trinity,4146,998,31,4.154308617234469,1
Callahan,4363,608,40,7.175986842105263,1
Jones,4107,830,37,4.948192771084337,1
Jackson,3908,831,17,4.702767749699158,1
Newton,3660,993,23,3.685800604229607,1
Falls,3201,1440,19,2.222916666666667,1
Comanche,3799,781,30,4.8642765685019205,1
Colorado,3565,1020,12,3.4950980392156863,1
Red River,3421,973,18,3.5159301130524154,1
